,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
3586,68,10,5.6,43,19.26,30.55,1
3587,164,32,21.4,45,108.33,171.88,1
3588,108,11,7.0,36,23.23,36.86,1
3589,74,8,5.4,42,22.26,35.32,1
3590,124,10,7.2,65,52.95,84.02,1
3591,56,11,5.0,27,49.58,78.67,1
3592,228,14,7.2,160,47.35,75.13,1
3593,273,15,12.2,85,61.33,97.31,1
3594,77,9,6.2,45,43.2,68.54,1
3595,177,21,12.2,73,92.0,145.97,1
3596,68,5,3.6,48,15.29,24.26,1
3597,377,72,36.0,123,100.83,159.98,1
3598,127,19,11.0,50,71.21,112.98,1
3599,127,13,7.8,55,60.28,95.64,1
3600,126,10,7.4,61,41.42,65.71,1
3601,146,15,10.4,81,26.49,42.02,1
3602,113,6,4.0,68,31.4,49.82,1
3603,194,7,4.6,134,29.5,46.81,1
3604,194,17,12.8,77,49.76,78.95,1
3605,171,16,11.4,82,93.82,148.84,1
3606,104,14,7.2,58,62.59,99.3,1
3607,110,9,5.6,60,28.71,45.56,1
3608,115,10,7.2,49,25.34,40.21,1
3609,232,41,21.6,74,53.79,85.33,1
3610,171,16,11.0,84,60.84,96.53,1
3611,252,22,10.2,168,73.98,117.37,1
3612,160,50,14.8,79,128.45,203.79,1
3613,62,12,8.4,23,28.01,44.44,1
3614,152,28,12.0,63,36.88,58.51,1
3615,147,22,12.8,55,110.56,175.42,1
3616,57,5,3.2,33,14.02,22.25,1
3617,173,16,13.0,54,76.53,121.42,1
3618,231,19,10.0,123,65.14,103.35,1
3619,96,8,5.6,42,26.82,42.56,1
3620,121,14,10.0,41,82.17,130.38,1
3621,259,15,11.2,141,69.29,109.93,1
3622,110,19,9.2,50,46.59,73.91,1
3623,86,6,4.8,37,28.14,44.65,1
3624,179,18,14.6,66,36.73,58.27,1
3625,166,27,10.8,98,28.2,44.74,1
3626,139,16,12.0,40,74.92,118.87,1
3627,249,13,9.0,136,87.82,139.34,1
3628,40,4,2.6,29,13.14,20.84,1
